Original	Salva	Casimir	Type	Subtype	Characteristic
b cell (plasmocyte)_ighg_igk high			b	plasmocyte	igk high
b cell (plasmocyte)_ighg_igl high			b	plasmocyte	igl high
b cell (plasmocyte)_ighg3 high			b	plasmocyte	ighg3 high
b cell (plasmocyte)_ighm/ha_igk high			b	plasmocyte	igk high
b cell (plasmocyte)_ighm/ha_igl high			b	plasmocyte	igl high
b cell (plasmocyte)_ighm/hg high			b	plasmocyte	ighm/hg high
b cell (plasmocyte)_iglv3-1 high			b	plasmocyte	iglv3-1 high
b cell(centrocyte)_iglc2 high			b	plasmocyte	iglc2 high
b cell(centrocyte)_igll1 high			b	plasmocyte	igll1 high
b cell(plasmocyte)_igha1 high			b	plasmocyte	igha1 high
b cell(plasmocyte)_ighg1 high			b	plasmocyte	ighg1 high
b cell(plasmocyte)_ighg3 high			b	plasmocyte	ighg3 high
b cell(plasmocyte)_ighg4 high			b	plasmocyte	ighg4 high
b cell(plasmocyte)_ighm high			b	plasmocyte	ighm high
b cell(plasmocyte)_igkc high			b	plasmocyte	igkc high
b cell(plasmocyte)_iglc3 high			b	plasmocyte	iglc3 high
b cell(plasmocyte)_igll5 high			b	plasmocyte	igll5 high
b cell_contamination			b	contamination	
b cell_ighg2 high			b	ighg2 high	
b cell_iglc2 high			b	iglc2 high	
b cell_jchain high			b	jchain high	
basal  cell			basal	basal  cell	
basal cell_krt6a high			basal	krt6a high	
cd4_t cell			t	cd4	
cd8_t cell			t	cd8	
chondrocyte_cytl1 high			chondrocyte	cytl1 high	
chondrocyte_panx3 high			chondrocyte	panx3 high	
chromaffin cell_spock3 high			chromaffin	spock3 high	
chromaffin cell_vip high			chromaffin	vip high	
ciliated  epithelial cell			ciliated	ciliated  epithelial cell	
club cell_bpifb1 high			club	bpifb1 high	
club cell_klk11 high			club	klk11 high	
collecting duct cell_crabp1 high			duct	collecting	crabp1 high
conventional dendritic cell_fecer1a high			dendritic	conventional	fecer1a high
conventional dendritic cell_il8 high			dendritic	conventional	il8 high
cytotrophoblast_page4 high			cytotrophoblast	page4 high	
cytotrophoblast_peg10 high			cytotrophoblast	peg10 high	
dendritic cell_cpvl high			dendritic	cpvl high	
dendritic cell_fcer1a high			dendritic	fcer1a high	
dendritic cell_hla-dra high			dendritic	hla-dra high	
dendritic cell_lgals2 high			dendritic	lgals2 high	
dendritic cell_lyz high			dendritic	lyz high	
dendritic cell_wdfy4 high			dendritic	wdfy4 high	
distal tubule cell_slc12a3 high			tubule	distal slc12a3 high	
endothelial  cell			endothelial	endothelial  cell	
endothelial cell_a2m high			endothelial	a2m high	
endothelial cell_ackr1 high			endothelial	ackr1 high	
endothelial cell_apc			endothelial	apc	
endothelial cell_aplnr high			endothelial	aplnr high	
endothelial cell_ccl2 high			endothelial	ccl2 high	
endothelial cell_ccl21 high			endothelial	ccl21 high	
endothelial cell_col15a1 high			endothelial	col15a1 high	
endothelial cell_col4a1 high			endothelial	col4a1 high	
endothelial cell_emcn high			endothelial	emcn high	
endothelial cell_esam high			endothelial	esam high	
endothelial cell_esm1 high			endothelial	esm1 high	
endothelial cell_fabp4 high			endothelial	fabp4 high	
endothelial cell_gja4 high			endothelial	gja4 high	
endothelial cell_igfbp3 high			endothelial	igfbp3 high	
endothelial cell_igfbp5 high			endothelial	igfbp5 high	
endothelial cell_il6 high			endothelial	il6 high	
endothelial cell_neat1 high			endothelial	neat1 high	
endothelial cell_nts high			endothelial	nts high	
endothelial cell_plvap high			endothelial	plvap high	
endothelial cell_podxl high			endothelial	podxl high	
endothelial cell_sele high			endothelial	sele high	
endothelial cell_socs3 high			endothelial	socs3 high	
endothelial cell_sparcl1 high			endothelial	sparcl1 high	
endothelial cell_stc1 high			endothelial	stc1 high	
endothelial cell_tm4sf1 high			endothelial	tm4sf1 high	
endothelial cell_tmem100 high			endothelial	tmem100 high	
endothelial cell_vwf high			endothelial	vwf high	
enterocyte progenitor_apoa4 high			enterocyte	progenitor	apoa4 high
enterocyte progenitor_apoc3 high			enterocyte	progenitor	apoc3 high
enterocyte progenitor_guca2b high			enterocyte	progenitor	guca2b high
enterocyte progenitor_olfm4 high			enterocyte	progenitor	olfm4 high
enterocyte progenitor_reg1a high			enterocyte	progenitor	reg1a high
enterocyte progenitor_tspan8 high			enterocyte	progenitor	tspan8 high
enterocyte_agr2 high			enterocyte	agr2 high	
enterocyte_apoa1 high			enterocyte	apoa1 high	
enterocyte_apoa4 high			enterocyte	apoa4 high	
enterocyte_best4 high			enterocyte	best4 high	
enterocyte_ca1 high			enterocyte	ca1 high	
enterocyte_ca7 high			enterocyte	ca7 high	
enterocyte_fabp1 low			enterocyte	fabp1 low	
enterocyte_guca2a high			enterocyte	guca2a high	
enterocyte_mt gene high			enterocyte	mt gene high	
enterocyte_otop2 high			enterocyte	otop2 high	
enterocyte_phgr1 high			enterocyte	phgr1 high	
enterocyte_rbp2 high			enterocyte	rbp2 high	
enterocyte_rn7sk high			enterocyte	rn7sk high	
enterocyte_selenbp1 high			enterocyte	selenbp1 high	
enterocyte_slc26a3 high			enterocyte	slc26a3 high	
epithelial cell_ccl21 high			epithelial	ccl21 high	
epithelial cell_ccnb1 high			epithelial	ccnb1 high	
epithelial cell_cd24 high			epithelial	cd24 high	
epithelial cell_clca1 high			epithelial	clca1 high	
epithelial cell_cystm1 high			epithelial	cystm1 high	
epithelial cell_edn1 high			epithelial	edn1 high	
epithelial cell_fabp1 high			epithelial	fabp1 high	
epithelial cell_hp high			epithelial	hp high	
epithelial cell_igfbp5 high			epithelial	igfbp5 high	
epithelial cell_itln high			epithelial	itln high	
epithelial cell_krt13 high			epithelial	krt13 high	
epithelial cell_krt14 high			epithelial	krt14 high	
epithelial cell_krt16 high			epithelial	krt16 high	
epithelial cell_krt17 high			epithelial	krt17 high	
epithelial cell_krt4 high			epithelial	krt4 high	
epithelial cell_krt7 high			epithelial	krt7 high	
epithelial cell_mmp10 high			epithelial	mmp10 high	
epithelial cell_mmp7 high			epithelial	mmp7 high	
epithelial cell_mt1g high			epithelial	mt1g high	
epithelial cell_mt1l high			epithelial	mt1l high	
epithelial cell_nr4a2 high			epithelial	nr4a2 high	
epithelial cell_pla2g2a high			epithelial	pla2g2a high	
epithelial cell_s100a2 high			epithelial	s100a2 high	
epithelial cell_scgb3a1 high			epithelial	scgb3a1 high	
epithelial cell_tm4sf4 high			epithelial	tm4sf4 high	
epithelial cell_tppp3 high			epithelial	tppp3 high	
epithelial_cell_nupr1 high			epithelial	nupr1 high	
erythroid cell__hbd high			erythroid	hbd high	
erythroid cell_ahsp high			erythroid	ahsp high	
erythroid cell_hba1 high			erythroid	hba1 high	
erythroid cell_hbb high			erythroid	hbb high	
erythroid cell_hbb_high			erythroid	high	
erythroid cell_hbe1 high			erythroid	hbe1 high	
erythroid cell_hbm high			erythroid	hbm high	
erythroid cell_hbz high			erythroid	hbz high	
erythroid cell_hbz_high			erythroid	high	
erythroid cell_prdx2 high			erythroid	prdx2 high	
erythroid cell_slc4a1 high			erythroid	slc4a1 high	
erythroid progenitor cell_npm1 high			erythroid	progenitor	npm1 high
erythroid progenitor cell_rexo2 high			erythroid	progenitor	rexo2 high
es_anxa1 high			es	anxa1 high	
es_s100a6 high			es	s100a6 high	
es_terf1 high			es	terf1 high	
exocrine cell_saa1 high			exocrine	saa1 high	
extravillous trophoblast_aoc1 high			extravillous	aoc1 high	
extravillous trophoblast_hpgd high			extravillous	hpgd high	
extravillous trophoblast_lair2 high			extravillous	lair2 high	
extravillous trophoblast_mmp12 high			extravillous	mmp12 high	
extravillous trophoblast_notum high			extravillous	notum high	
extravillous trophoblast_timp3 high			extravillous	timp3 high	
fenestrated endothelial cell_emcn high			endothelial	fenestrated	emcn high
fenestrated endothelial cell_sele high			endothelial	fenestrated	sele high
fibroblast cell_mfap5 high			fibroblast	mfap5 high	
fibroblast_ cxcl12 high			fibroblast	 cxcl12 high	
fibroblast_a2m high			fibroblast	a2m high	
fibroblast_apod high			fibroblast	apod high	
fibroblast_col1a1 high			fibroblast	col1a1 high	
fibroblast_col3a1 high			fibroblast	col3a1 high	
fibroblast_col5a2 high			fibroblast	col5a2 high	
fibroblast_dcn high			fibroblast	dcn high	
fibroblast_efemp1 high			fibroblast	efemp1 high	
fibroblast_fbln1 high			fibroblast	fbln1 high	
fibroblast_fndc1 high			fibroblast	fndc1 high	
fibroblast_hmgb2 high			fibroblast	hmgb2 high	
fibroblast_ibsp_high			fibroblast	high	
fibroblast_lum high			fibroblast	lum high	
fibroblast_mfap4 high			fibroblast	mfap4 high	
fibroblast_mfap5 high			fibroblast	mfap5 high	
fibroblast_mgp high			fibroblast	mgp high	
fibroblast_mgp_high			fibroblast	high	
fibroblast_penk high			fibroblast	penk high	
fibroblast_postn high			fibroblast	postn high	
fibroblast_ptx3 high			fibroblast	ptx3 high	
fibroblast_sfpr4 high			fibroblast	sfpr4 high	
fibroblast_sfrp high			fibroblast	sfrp high	
fibroblast_zfand2a high			fibroblast	zfand2a high	
gastric chief cell_chia high			gastric_chief	chia high	
gastric chief cell_mt high			gastric_chief	mt high	
gastric chief cell_pga3 high			gastric_chief	pga3 high	
glomerular endothelial cell_aqp1 high			endothelial	glomerular	aqp1 high
goblet cell_fcgbp high			goblet	fcgbp high	
goblet cell_pigr high			goblet	pigr high	
hepatocyte_fgb high			hepatocyte	fgb high	
hepatocyte_gsta1 high			hepatocyte	gsta1 high	
hepatocyte_hp high			hepatocyte	hp high	
hepatocyte_tf high			hepatocyte	tf high	
inflammatory stromal cell_hspa1a high			stromal	inflammatory	hspa1a high
inflammatory stromal cell_mt-rnr2 high			stromal	inflammatory	mt-rnr2 high
inflammed  epithelial cell			epithelial	inflammed	
intercalated cell_slc26a4 high			intercalated	slc26a4 high	
intercalated cell_spink1 high			intercalated	spink1 high	
interstitial cell_postn high			interstitial	postn high	
interstitial cell_ptn high			interstitial	ptn high	
leydig cell	leydig cell	leydig cell	leydig		
loop of henle _anxa1 high			loop of henle	anxa1 high	
loop of henle _kng1 high			loop of henle	kng1 high	
loop of henle _umod high			loop of henle	umod high	
loop of henle_sfn high			loop of henle	sfn high	
loop of henle_slpi high			loop of henle	slpi high	
